id;title;address;coordonnees
119;"Château de Germolles";"3 Rue des Géraniums, 71640 Mellecey, France";46.813784,4.748533
120;"Maison des Ailleurs";"7 Quai Arthur Rimbaud, 08000 Charleville-Mézières, France";49.775683,4.721424
121;"Maison natale d'Aristide Bergès et ancienne papeterie de Prat du Ritou";"Musée Aristide Bergès Prat du Ritou, 09190 Lorp-Sentaraille, France";43.010821957551,1.1248024613743
122;"Maison des Jardies ou Maison de Gambetta";"Maison des Jardies 14 avenue Gambetta, 92310 Sèvres, France";48.827206,2.198652
123;"Château des Ducs de la Trémoille";"Château des Ducs de la Trémoille Rue du Château, 79100 Thouars, France";46.971452589026,-0.21673611750828
124;"Château et jardin potager de Miromesnil";"Château de Miromesnil Château de Miromesnil, 76550 Tourville-sur-Arques, France";49.859102,1.098173
125;"Domaine de la Vallée aux loups";"Maison de Chateaubriand 87 rue Chateaubriand, 92290 Châtenay-Malabry, France";48.771837,2.266621
126;"Château des Milandes";"Château et parc des Milandes Les Milandes, 24250 Castelnaud-la-Chapelle, France";44.823563,1.114254
127;"Musée Bartholdi";"Musée Bartholdi 30 Rue des Marchands, 68000 Colmar, France";48.07679,7.357682
128;"Maison familiale d'Henri Queuille";"Musée départemental de la Résistance Henri Queuille 21 Rue du Commerce, 19160 Neuvic, France";45.381904905461,2.27161662564
129;"Institut Pasteur - Musée Pasteur";"Musée Pasteur 25 Rue du Docteur Roux, 75015 Paris, France";48.840346,2.310814
130;"Musée Jean Racine";"Musée Jean Racine 2 Rue des Bouchers, 02460 La Ferté-Milon, France";49.175191828305,3.1268615889478
131;"Musée-Bibliothèque François Pétrarque";"Musée-Bibliothèque François Pétrarque Rive gauche de la Sorgue, 84800 Fontaine-de-Vaucluse, France";43.921917130039,5.1288824540372
132;"Maison-Musée Felix Eboué";"Maison-Musée Felix Eboué 1 Cité Jean Francois, 97300 Cayenne, France";4.926385,-52.316445
133;"La Métairie – Musée Maillol";"Musée Maillol Route du Mas de la Roume, 66650 Banyuls-sur-Mer, France";42.461928051355,3.1067449447821
134;"Maison de Jean-Jacques Rousseau et Maison des Commères";"Musée Jean-Jacques Rousseau 5 Rue Jean Jacques Rousseau, 95160 Montmorency, France";48.986892,2.320916
135;"Maison natale de Berlioz";"Maison - musée Hector Berlioz 69 Rue de la République, 38260 La Côte-Saint-André, France";45.393343,5.261213
136;"Château de Verteuil";"14 Rue Honoré de Balzac, 16510 Verteuil-sur-Charente, France";45.981651,0.225426
137;"Musée - Maison natale de Murat";"Musée Murat Rue Joachim Murat, 46240 Cœur de Causse, France";44.646541,1.567336
138;"Château de Sagonne";"1 D76, 18600 Sagonne, France";46.851974,2.833639
139;"Domaine de la Forestière ou maison de Michelet, actuellement Musée Michelet";"Château de Vascoeuil - Maison Michelet 8 Rue Michelet, 27910 Vascœuil, France";49.44728,1.37649
140;"Musée national Gustave Moreau";"14 Rue Catherine de la Rochefoucauld, 75009 Paris, France";48.877912,2.334416
141;"Ancien hôtel Arnaud ou de Rohan-Guéménée, actuellement maison de Victor Hugo";"Maison de Victor Hugo 6 Place des Vosges, 75004 Paris, France";48.854821,2.366132
142;"Château d'Eu, ancien domaine royal, actuellement musée Louis-Philippe";"Musée Louis Philippe Place du Champ de Mars, 76260 Eu, France";50.046522,1.423461
143;"Hôtel-Dieu, actuellement musée Flaubert et d'histoire de la Médecine";"Musée Flaubert et d'histoire de la Médecine 51 Rue de Lecat, 76000 Rouen, France";49.445232,1.081736
144;"Cabanon Le Corbusier";"16 Avenue le Corbusier, 06190 Roquebrune-Cap-Martin, France";43.760099,7.457108
145;"Espace muséographique Sarah Bernhardt";"491 Les Poulains 56360 Sauzon";47.380684,-3.244172
146;"Villa Souques-Pagès";"3 Quai Francois Foulon, 97110 Pointe-à-Pitre, France";16.23619,-61.537887
